,index,Cell_ID,Lat_Cell,Lon_Cell,Ant_Dirction,Sum_Nearest,Sum_overshooting,Sum_Blocked,Sum_Bad_Coverge,Sum_Loaded,Sum_cross_sector,Sum_back_lobe,SUM_col,Nearest_per,overshooting_per,Blocked_per,Bad_Coverge_per,Loaded_per,cross_sector_per,back_lobe_per
174,174,GD2014A,30.57534155,31.50744934,180.0,120,0,0,0,0,0,0,120,100.0,0.0,0.0,0.0,0.0,0.0,0.0
175,175,GD2014B,30.57534155,31.50744934,250.0,126,0,0,0,0,0,0,126,100.0,0.0,0.0,0.0,0.0,0.0,0.0
176,176,GD2014C,30.57534155,31.50744934,340.0,172,0,10,3,6,0,0,191,90.05,0.0,5.24,1.57,3.14,0.0,0.0
177,177,GD20153,30.57820258,31.53381037,280.0,10,0,0,0,0,0,0,10,100.0,0.0,0.0,0.0,0.0,0.0,0.0
178,178,GD21075,30.48911939,31.44719937,70.0,0,83,0,0,0,0,0,83,0.0,100.0,0.0,0.0,0.0,0.0,0.0
179,179,GD31057,30.6785,31.57925,220.0,0,2,0,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0
180,180,GD31371,30.59456644,31.49092721,60.0,193,0,0,0,0,0,0,193,100.0,0.0,0.0,0.0,0.0,0.0,0.0
181,181,GD31373,30.59456644,31.49092721,300.0,0,0,4,0,0,0,0,4,0.0,0.0,100.0,0.0,0.0,0.0,0.0
182,182,GD31375,30.59456644,31.49092721,60.0,35,0,9,0,0,0,0,44,79.55,0.0,20.45,0.0,0.0,0.0,0.0
183,183,GD31376,30.59456644,31.49092721,200.0,48,0,3,0,0,0,0,51,94.12,0.0,5.88,0.0,0.0,0.0,0.0
184,184,GD3137A,30.59456644,31.49092721,60.0,125,7,0,1,0,0,0,133,93.98,5.26,0.0,0.75,0.0,0.0,0.0
185,185,GD3137B,30.59456644,31.49092721,200.0,78,0,22,2,7,0,0,109,71.56,0.0,20.18,1.83,6.42,0.0,0.0
186,186,GD3137C,30.59456644,31.49092721,300.0,42,1,41,2,5,0,0,91,46.15,1.1,45.05,2.2,5.49,0.0,0.0
187,187,GD32251,30.59177778,31.50127778,30.0,0,0,6,0,1,0,0,7,0.0,0.0,85.71,0.0,14.29,0.0,0.0
188,188,GD32252,30.59177778,31.50127778,190.0,135,0,2,0,2,0,0,139,97.12,0.0,1.44,0.0,1.44,0.0,0.0
189,189,GD32253,30.59177778,31.50127778,290.0,63,0,0,0,1,0,0,64,98.44,0.0,0.0,0.0,1.56,0.0,0.0
190,190,GD32255,30.59177778,31.50127778,30.0,32,0,0,0,0,0,0,32,100.0,0.0,0.0,0.0,0.0,0.0,0.0
191,191,GD32256,30.59177778,31.50127778,190.0,308,5,1,0,0,0,0,314,98.09,1.59,0.32,0.0,0.0,0.0,0.0
192,192,GD32257,30.59177778,31.50127778,290.0,144,0,0,1,0,0,0,145,99.31,0.0,0.0,0.69,0.0,0.0,0.0
193,193,GD3225A,30.59177778,31.50127778,30.0,44,0,0,0,0,0,0,44,100.0,0.0,0.0,0.0,0.0,0.0,0.0
194,194,GD3225B,30.59177778,31.50127778,190.0,20,0,0,0,0,0,0,20,100.0,0.0,0.0,0.0,0.0,0.0,0.0
195,195,GD3225C,30.59177778,31.50127778,290.0,15,0,0,0,0,0,0,15,100.0,0.0,0.0,0.0,0.0,0.0,0.0
196,196,GD33083,30.608,31.53730556,235.0,0,8,0,0,0,0,0,8,0.0,100.0,0.0,0.0,0.0,0.0,0.0
197,197,GD34016,30.51741667,31.56608333,100.0,0,1,0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,0.0,0.0
198,198,GD34121,30.59981392,31.50567109,0.0,97,0,0,15,0,0,0,112,86.61,0.0,0.0,13.39,0.0,0.0,0.0
199,199,GD34122,30.59981392,31.50567109,80.0,116,0,0,0,0,0,0,116,100.0,0.0,0.0,0.0,0.0,0.0,0.0
200,200,GD34123,30.59981392,31.50567109,220.0,152,8,0,0,0,0,0,160,95.0,5.0,0.0,0.0,0.0,0.0,0.0
201,201,GD34125,30.59981392,31.50567109,0.0,118,0,0,6,0,0,0,124,95.16,0.0,0.0,4.84,0.0,0.0,0.0
202,202,GD34127,30.59981392,31.50567109,220.0,3,0,0,0,0,0,0,3,100.0,0.0,0.0,0.0,0.0,0.0,0.0
203,203,GD3412A,30.59981392,31.50567109,0.0,394,0,0,9,0,0,0,403,97.77,0.0,0.0,2.23,0.0,0.0,0.0
204,204,GD3412B,30.59981392,31.50567109,80.0,85,0,0,2,0,0,0,87,97.7,0.0,0.0,2.3,0.0,0.0,0.0
205,205,GD3412C,30.59981392,31.50567109,220.0,64,0,40,0,0,0,0,104,61.54,0.0,38.46,0.0,0.0,0.0,0.0
206,206,GD3412D,30.59981392,31.50567109,300.0,81,0,3,0,1,0,0,85,95.29,0.0,3.53,0.0,1.18,0.0,0.0
207,207,GD34342,30.58672222,31.56611111,150.0,0,2,0,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0
208,208,GD34347,30.58672222,31.56611111,340.0,0,1,0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,0.0,0.0
209,209,GD36581,30.68597222,31.42680556,25.0,0,2,0,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0
210,210,GD37717,30.5162,31.40616944,250.0,0,62,0,0,0,0,0,62,0.0,100.0,0.0,0.0,0.0,0.0,0.0
211,211,GD37852,30.53978611,31.566587899999995,155.0,0,1,0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,0.0,0.0
212,212,GD37858,30.53978611,31.566587899999995,330.0,0,2,0,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0
213,213,GD39303,30.49194444,31.57163889,180.0,0,25,0,0,0,0,0,25,0.0,100.0,0.0,0.0,0.0,0.0,0.0
214,214,GD39345,30.6088139,31.47505994,60.0,0,1,0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,0.0,0.0
215,215,GD41601,30.56677778,31.50541667,160.0,1,0,0,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0
216,216,GD41602,30.56677778,31.50541667,245.0,11,0,0,0,0,0,0,11,100.0,0.0,0.0,0.0,0.0,0.0,0.0
217,217,GD41603,30.56677778,31.50541667,315.0,153,0,14,0,12,0,0,179,85.47,0.0,7.82,0.0,6.7,0.0,0.0
218,218,GD41607,30.56677778,31.50541667,315.0,5,0,0,0,0,0,0,5,100.0,0.0,0.0,0.0,0.0,0.0,0.0
219,219,GD68542,30.59452778,31.48416667,135.0,30,1,4,0,4,0,0,39,76.92,2.56,10.26,0.0,10.26,0.0,0.0
220,220,GD68543,30.59452778,31.48416667,285.0,58,0,0,0,0,0,0,58,100.0,0.0,0.0,0.0,0.0,0.0,0.0
221,221,GD68545,30.59452778,31.48416667,60.0,72,0,0,0,0,0,0,72,100.0,0.0,0.0,0.0,0.0,0.0,0.0
222,222,GD68546,30.59452778,31.48416667,135.0,9,0,2,0,1,0,0,12,75.0,0.0,16.67,0.0,8.33,0.0,0.0
223,223,GD6854A,30.59452778,31.48416667,60.0,61,0,19,2,14,0,0,96,63.54,0.0,19.79,2.08,14.58,0.0,0.0
224,224,GD6854B,30.59452778,31.48416667,135.0,38,0,15,0,1,0,0,54,70.37,0.0,27.78,0.0,1.85,0.0,0.0
225,225,GD6854C,30.59452778,31.48416667,285.0,4,1,0,0,0,0,0,5,80.0,20.0,0.0,0.0,0.0,0.0,0.0
226,226,GD68551,30.58083333,31.48404167,30.0,0,0,5,0,0,0,0,5,0.0,0.0,100.0,0.0,0.0,0.0,0.0
227,227,GD68552,30.58083333,31.48404167,130.0,13,0,32,0,9,0,0,54,24.07,0.0,59.26,0.0,16.67,0.0,0.0
228,228,GD68553,30.58083333,31.48404167,330.0,51,0,0,0,0,0,0,51,100.0,0.0,0.0,0.0,0.0,0.0,0.0
229,229,GD68555,30.58083333,31.48404167,30.0,6,0,0,0,0,0,0,6,100.0,0.0,0.0,0.0,0.0,0.0,0.0
230,230,GD6855A,30.58083333,31.48404167,30.0,2,0,0,0,0,0,0,2,100.0,0.0,0.0,0.0,0.0,0.0,0.0
231,231,GD70811,30.56211111,31.49644444,30.0,0,17,1,0,0,0,0,18,0.0,94.44,5.56,0.0,0.0,0.0,0.0
232,232,GD70821,30.58037,31.49471,40.0,38,0,3,0,0,0,0,41,92.68,0.0,7.32,0.0,0.0,0.0,0.0
233,233,GD70822,30.58037,31.49471,160.0,4,0,8,0,0,0,0,12,33.33,0.0,66.67,0.0,0.0,0.0,0.0
234,234,GD70823,30.58037,31.49471,280.0,69,0,1,0,0,0,0,70,98.57,0.0,1.43,0.0,0.0,0.0,0.0
235,235,GD70825,30.58037,31.49471,40.0,1,0,0,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0
236,236,GD70826,30.58037,31.49471,160.0,8,5,8,0,0,0,0,21,38.1,23.81,38.1,0.0,0.0,0.0,0.0
237,237,GD70827,30.58037,31.49471,280.0,137,0,0,0,0,0,0,137,100.0,0.0,0.0,0.0,0.0,0.0,0.0
238,238,GD7082A,30.58037,31.49471,40.0,10,0,4,0,0,0,0,14,71.43,0.0,28.57,0.0,0.0,0.0,0.0
239,239,GD7082B,30.58037,31.49471,160.0,16,0,0,0,0,0,0,16,100.0,0.0,0.0,0.0,0.0,0.0,0.0
240,240,GD7082C,30.58037,31.49471,280.0,66,0,0,0,0,0,0,66,100.0,0.0,0.0,0.0,0.0,0.0,0.0
241,241,GD73581,30.59202778,31.48355556,0.0,10,0,0,0,0,0,0,10,100.0,0.0,0.0,0.0,0.0,0.0,0.0
